date,deforestation_ha,pred_LightGBM,pred_Lasso,pred_MLP
2023-07-31,88478.1949236061,6855.9711961866315,2714.825767144149,31.482485741469123
2023-08-31,144891.73966293348,3048.774300777787,10645.737232031617,78.78552504249242
2023-09-30,150506.56142142555,76994.96116654802,26667.298837613427,80.31936409339622
2023-10-31,214858.57839943605,155293.0902450821,17598.99257484308,135.4577387778842
2023-11-30,158009.17780770597,150878.39776498443,36299.1842349655,196.99584161534847
2023-12-31,158711.5684077919,54450.874650824866,3819.4230565316193,381.0640658668255
2024-01-31,33199.8728312913,14749.178172277201,6639.184896616088,-13.329258737098991
2024-02-29,182919.1776219512,46397.80977857084,10074.293859867767,-9.54520257902137
2024-03-31,250773.36634811322,19023.59579758162,5002.386889804839,8.435701746522183
2024-04-30,146732.0540563183,3930.146497126116,3183.7821974015724,23.78328013743895
2024-05-31,190659.46547993625,74685.91610692648,103270.17787949376,20.456014472477733
2024-06-30,60968.30264854737,16974.091258285553,16138.460412199804,23.856571742269455
2024-07-31,127613.09774598843,19748.18847898802,13946.703806774109,42.95795184856888
2024-08-31,314093.6145669873,23917.313747775985,22115.40463023671,53.312491420417665
2024-09-30,1633534.4006637158,1342391.0920764115,99731.08381145293,48.327731491695594
2024-10-31,756447.0624395985,269580.1057295141,24497.648782672753,132.10449974535962
2024-11-30,186839.68802710096,133331.31720990234,18302.502339629686,218.29511149274444
2024-12-31,55311.17012898403,96092.97315848919,11891.454831342395,494.6321288189035
2025-01-31,51961.21576414888,8511.179600380143,2429.3672291116395,-10.328738363010341
2025-02-28,42156.2587228464,5634.0819425114705,2954.1986966666327,-0.17979827221815903
2025-03-31,17362.968830715075,653.446928548235,646.8867173542098,26.078495119396013
